Model,Make,YOM,Color,Used,Transmission,Mileage,Location,Price
Land,Toyota,2019,Brown,Brand New,Automatic,1,"Kiambu, Kiambu / Kiambu","KSh 14,500,000"
Land,Toyota,2019,Silver,Brand New,Automatic,42,"Kiambu, Kiambu / Kiambu","KSh 13,000,000"
Note,Nissan,2013,White,Brand New,Automatic,97000,"Kiambu, Kiambu / Kiambu","KSh 680,000"
Fielder,Toyota,2013,White,Brand New,Automatic,780000,"Kiambu, Kiambu / Kiambu","KSh 1,350,000"
Fielder,Toyota,2013,White,Brand New,Automatic,780000,"Kiambu, Kiambu / Kiambu","KSh 1,350,000"
Legacy,Subaru,2012,Black,Brand New,Automatic,72000,"Mombasa, Changamwe","KSh 1,450,000"
Harrier,Toyota,2012,Black,Brand New,Automatic,89000,"Mombasa, Changamwe","KSh 2,400,000"
RVR,Mitsubishi,2014,Gray,Brand New,Automatic,58400,"Mombasa, Changamwe","KSh 1,950,000"
Note,Nissan,2012,Purple,Brand New,Automatic,62000,"Mombasa, Changamwe","KSh 600,000"
Note,Nissan,2012,Red,Brand New,Automatic,58000,"Mombasa, Changamwe","KSh 600,000"
Probox,Toyota,2013,Silver,Brand New,Automatic,89000,"Mombasa, Changamwe","KSh 700,000"
Land,Toyota,2013,Silver,Brand New,Automatic,75000,"Mombasa, Changamwe","KSh 9,000,000"
Fielder,Toyota,2012,Silver,Brand New,Automatic,100000,"Mombasa, Changamwe","KSh 1,180,000"
Demio,Mazda,2013,White,Brand New,Automatic,99000,"Mombasa, Changamwe","KSh 660,000"
NP300,Nissan,2013,White,Brand New,Automatic,101000,"Mombasa, Changamwe","KSh 900,000"
Caravan,Nissan,2011,White,Brand New,Automatic,102000,"Mombasa, Changamwe","KSh 1,500,000"
Note,Nissan,2015,Black,Brand New,Automatic,53252,"Mombasa, Ganjoni","KSh 900,000"
Note,Nissan,2015,Black,Brand New,Automatic,53252,"Mombasa, Ganjoni","KSh 900,000"
Fielder,Toyota,2015,Black,Brand New,Automatic,86000,"Mombasa, Ganjoni","KSh 1,300,000"
Fielder,Toyota,2015,Black,Brand New,Automatic,86000,"Mombasa, Ganjoni","KSh 1,300,000"
Axio,Toyota,2015,Black,Brand New,Automatic,51243,"Mombasa, Ganjoni","KSh 1,450,000"
Demio,Mazda,2014,Black,Brand New,Automatic,53088,"Mombasa, Ganjoni","KSh 750,000"
Demio,Mazda,2014,Black,Brand New,Automatic,53088,"Mombasa, Ganjoni","KSh 750,000"
Tiguan,Volkswagen,2014,Gold,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 2,100,000"
Fit,Honda,2014,Gray,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 930,000"
Vitz,Toyota,2015,Red,Brand New,Automatic,65214,"Mombasa, Ganjoni","KSh 900,000"
Vitz,Toyota,2015,Red,Brand New,Automatic,65214,"Mombasa, Ganjoni","KSh 900,000"
Auris,Toyota,2014,Red,Brand New,Automatic,51236,"Mombasa, Ganjoni","KSh 1,350,000"
Allion,Toyota,2014,Red,Brand New,Automatic,75000,"Mombasa, Ganjoni","KSh 1,450,000"
Succeed,Toyota,2015,Silver,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 950,000"
Alphard,Toyota,2015,White,Brand New,Automatic,65283,"Mombasa, Ganjoni","KSh 4,100,000"
Demio,Mazda,2014,White,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 930,000"
Impreza,Subaru,2014,White,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 1,250,000"
Impreza,Subaru,2014,White,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 1,250,000"
Touran,Volkswagen,2014,Black,Brand New,Automatic,52505,"Mombasa, Mbaraki","KSh 1,300,000"
Forester,Subaru,2014,Blue,Brand New,Automatic,58558,"Mombasa, Mbaraki","KSh 2,450,000"
Golf,Volkswagen,2014,Silver,Brand New,Automatic,75454,"Mombasa, Mbaraki","KSh 1,350,000"
RAV4,Toyota,2020,Black,Brand New,Automatic,5000,"Mombasa, Mombasa CBD","KSh 6,199,000"
Harrier,Toyota,2020,Black,Brand New,Automatic,10000,"Mombasa, Mombasa CBD","KSh 7,299,000"
Land,Toyota,2018,Black,Brand New,Automatic,30000,"Mombasa, Mombasa CBD","KSh 8,799,000"
Stepwgn,Honda,2015,Black,Brand New,Automatic,89858,"Mombasa, Mombasa CBD","KSh 1,650,000"
GL,Mercedes-Benz,2014,Black,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 9,500,000"
RVR,Mitsubishi,2014,Black,Brand New,Automatic,63528,"Mombasa, Mombasa CBD","KSh 1,800,000"
Wagon,Suzuki,2014,Black,Brand New,Automatic,65800,"Mombasa, Mombasa CBD","KSh 580,000"
Crown,Toyota,2014,Black,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 3,000,000"
Crown,Toyota,2014,Black,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 3,000,000"
Land,Toyota,2014,Black,Brand New,Automatic,54000,"Mombasa, Mombasa CBD","KSh 5,850,000"
Harrier,Toyota,2020,Blue,Brand New,Automatic,739,"Mombasa, Mombasa CBD","KSh 7,500,000"
Golf,Volkswagen,2014,Blue,Brand New,Automatic,56852,"Mombasa, Mombasa CBD","KSh 1,450,000"
Probox,Toyota,2013,Blue,Brand New,Automatic,90121,"Mombasa, Mombasa CBD","KSh 755,000"
Dayz,Nissan,2014,Brown,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 530,000"
Forester,Subaru,2014,Gold,Brand New,Automatic,74000,"Mombasa, Mombasa CBD","KSh 2,800,000"
Land,Toyota,2015,Gray,Brand New,Automatic,42000,"Mombasa, Mombasa CBD","KSh 7,100,000"
Fit,Honda,2014,Gray,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 850,000"
Axela,Mazda,2014,Gray,Brand New,Automatic,85848,"Mombasa, Mombasa CBD","KSh 1,450,000"
RAV4,Toyota,2014,Gray,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 3,300,000"
Yaris,Toyota,2021,Pearl,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 3,500,000"
